n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,success_rate
10,1.16481e+09,1.77786e+08,1.01785e+09,1.07977e+09,1.10901e+09,1.19405e+09,1.42337e+09,1
10,1.16481e+09,1.77786e+08,1.01785e+09,1.07977e+09,1.10901e+09,1.19405e+09,1.42337e+09,1
10,1.16481e+09,1.77786e+08,1.01785e+09,1.07977e+09,1.10901e+09,1.19405e+09,1.42337e+09,1
10,1.16481e+09,1.77786e+08,1.01785e+09,1.07977e+09,1.10901e+09,1.19405e+09,1.42337e+09,1
40,2.88639e+09,4.50967e+08,2.46462e+09,2.63316e+09,2.7837e+09,3.03694e+09,3.51355e+09,1
40,2.88639e+09,4.50967e+08,2.46462e+09,2.63316e+09,2.7837e+09,3.03694e+09,3.51355e+09,1
40,2.88639e+09,4.50967e+08,2.46462e+09,2.63316e+09,2.7837e+09,3.03694e+09,3.51355e+09,1
40,2.88639e+09,4.50967e+08,2.46462e+09,2.63316e+09,2.7837e+09,3.03694e+09,3.51355e+09,1
70,4.73379e+10,2.71815e+10,6.56564e+09,4.73199e+10,6.09073e+10,6.09252e+10,6.09714e+10,0
70,4.73379e+10,2.71815e+10,6.56564e+09,4.73199e+10,6.09073e+10,6.09252e+10,6.09714e+10,0
70,4.73379e+10,2.71815e+10,6.56564e+09,4.73199e+10,6.09073e+10,6.09252e+10,6.09714e+10,1
70,4.73379e+10,2.71815e+10,6.56564e+09,4.73199e+10,6.09073e+10,6.09252e+10,6.09714e+10,0
100,4.82835e+10,2.6966e+10,7.85457e+09,4.78148e+10,6.11596e+10,6.16283e+10,6.29605e+10,0
100,4.82835e+10,2.6966e+10,7.85457e+09,4.78148e+10,6.11596e+10,6.16283e+10,6.29605e+10,0
100,4.82835e+10,2.6966e+10,7.85457e+09,4.78148e+10,6.11596e+10,6.16283e+10,6.29605e+10,0
100,4.82835e+10,2.6966e+10,7.85457e+09,4.78148e+10,6.11596e+10,6.16283e+10,6.29605e+10,1
