n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,success_rate
10,6.83912e+008,1.18694e+008,5.57288e+008,6.08656e+008,6.43676e+008,7.44652e+008,9.6161e+008,1
10,6.83912e+008,1.18694e+008,5.57288e+008,6.08656e+008,6.43676e+008,7.44652e+008,9.6161e+008,1
10,6.83912e+008,1.18694e+008,5.57288e+008,6.08656e+008,6.43676e+008,7.44652e+008,9.6161e+008,1
10,6.83912e+008,1.18694e+008,5.57288e+008,6.08656e+008,6.43676e+008,7.44652e+008,9.6161e+008,1
10,6.83912e+008,1.18694e+008,5.57288e+008,6.08656e+008,6.43676e+008,7.44652e+008,9.6161e+008,1
10,6.83912e+008,1.18694e+008,5.57288e+008,6.08656e+008,6.43676e+008,7.44652e+008,9.6161e+008,1
10,6.83912e+008,1.18694e+008,5.57288e+008,6.08656e+008,6.43676e+008,7.44652e+008,9.6161e+008,1
10,6.83912e+008,1.18694e+008,5.57288e+008,6.08656e+008,6.43676e+008,7.44652e+008,9.6161e+008,1
10,6.83912e+008,1.18694e+008,5.57288e+008,6.08656e+008,6.43676e+008,7.44652e+008,9.6161e+008,1
10,6.83912e+008,1.18694e+008,5.57288e+008,6.08656e+008,6.43676e+008,7.44652e+008,9.6161e+008,1
40,1.57615e+009,9.72258e+008,5.97665e+008,7.47457e+008,1.36944e+009,1.70512e+009,3.60552e+009,1
40,1.57615e+009,9.72258e+008,5.97665e+008,7.47457e+008,1.36944e+009,1.70512e+009,3.60552e+009,1
40,1.57615e+009,9.72258e+008,5.97665e+008,7.47457e+008,1.36944e+009,1.70512e+009,3.60552e+009,1
40,1.57615e+009,9.72258e+008,5.97665e+008,7.47457e+008,1.36944e+009,1.70512e+009,3.60552e+009,1
40,1.57615e+009,9.72258e+008,5.97665e+008,7.47457e+008,1.36944e+009,1.70512e+009,3.60552e+009,1
40,1.57615e+009,9.72258e+008,5.97665e+008,7.47457e+008,1.36944e+009,1.70512e+009,3.60552e+009,1
40,1.57615e+009,9.72258e+008,5.97665e+008,7.47457e+008,1.36944e+009,1.70512e+009,3.60552e+009,1
40,1.57615e+009,9.72258e+008,5.97665e+008,7.47457e+008,1.36944e+009,1.70512e+009,3.60552e+009,1
40,1.57615e+009,9.72258e+008,5.97665e+008,7.47457e+008,1.36944e+009,1.70512e+009,3.60552e+009,1
40,1.57615e+009,9.72258e+008,5.97665e+008,7.47457e+008,1.36944e+009,1.70512e+009,3.60552e+009,1
70,2.63235e+010,2.96612e+010,7.81e+008,3.05633e+009,5.54881e+009,6.05841e+010,6.09234e+010,0
70,2.63235e+010,2.96612e+010,7.81e+008,3.05633e+009,5.54881e+009,6.05841e+010,6.09234e+010,0
70,2.63235e+010,2.96612e+010,7.81e+008,3.05633e+009,5.54881e+009,6.05841e+010,6.09234e+010,0
70,2.63235e+010,2.96612e+010,7.81e+008,3.05633e+009,5.54881e+009,6.05841e+010,6.09234e+010,1
70,2.63235e+010,2.96612e+010,7.81e+008,3.05633e+009,5.54881e+009,6.05841e+010,6.09234e+010,1
70,2.63235e+010,2.96612e+010,7.81e+008,3.05633e+009,5.54881e+009,6.05841e+010,6.09234e+010,0
70,2.63235e+010,2.96612e+010,7.81e+008,3.05633e+009,5.54881e+009,6.05841e+010,6.09234e+010,1
70,2.63235e+010,2.96612e+010,7.81e+008,3.05633e+009,5.54881e+009,6.05841e+010,6.09234e+010,1
70,2.63235e+010,2.96612e+010,7.81e+008,3.05633e+009,5.54881e+009,6.05841e+010,6.09234e+010,1
70,2.63235e+010,2.96612e+010,7.81e+008,3.05633e+009,5.54881e+009,6.05841e+010,6.09234e+010,0
100,4.42438e+010,2.65756e+010,4.28358e+009,6.92309e+009,6.06607e+010,6.07914e+010,6.08805e+010,0
100,4.42438e+010,2.65756e+010,4.28358e+009,6.92309e+009,6.06607e+010,6.07914e+010,6.08805e+010,0
100,4.42438e+010,2.65756e+010,4.28358e+009,6.92309e+009,6.06607e+010,6.07914e+010,6.08805e+010,1
100,4.42438e+010,2.65756e+010,4.28358e+009,6.92309e+009,6.06607e+010,6.07914e+010,6.08805e+010,0
100,4.42438e+010,2.65756e+010,4.28358e+009,6.92309e+009,6.06607e+010,6.07914e+010,6.08805e+010,1
100,4.42438e+010,2.65756e+010,4.28358e+009,6.92309e+009,6.06607e+010,6.07914e+010,6.08805e+010,0
100,4.42438e+010,2.65756e+010,4.28358e+009,6.92309e+009,6.06607e+010,6.07914e+010,6.08805e+010,0
100,4.42438e+010,2.65756e+010,4.28358e+009,6.92309e+009,6.06607e+010,6.07914e+010,6.08805e+010,0
100,4.42438e+010,2.65756e+010,4.28358e+009,6.92309e+009,6.06607e+010,6.07914e+010,6.08805e+010,1
100,4.42438e+010,2.65756e+010,4.28358e+009,6.92309e+009,6.06607e+010,6.07914e+010,6.08805e+010,0
